Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
,,,,,,,,,,,,,,,,,,,,
2021,New York Mets,NL East,162,77,85,0,.475,.478,3rd of 5,11.5,,636,668,1511926,28.2,29.5,64,42,J.deGrom (5.0),L.Rojas (77-85)
2020,New York Mets,NL East,60,26,34,0,.433,.466,4th of 5,9.0,,286,308,,27.7,29.2,47,25,J.deGrom (2.7),L.Rojas (26-34)
2019,New York Mets,NL East,162,86,76,0,.531,.532,3rd of 5,11.0,,791,737,2442532,27.9,28.6,53,30,J.deGrom (8.4),M.Callaway (86-76)
2018,New York Mets,NL East,162,77,85,0,.475,.479,4th of 5,13.0,,676,707,2224995,28.4,28.0,56,30,J.deGrom (10.4),M.Callaway (77-85)
2017,New York Mets,NL East,162,70,92,0,.432,.427,4th of 5,27.0,,735,863,2460622,28.9,27.5,52,29,J.deGrom (4.6),T.Collins (70-92)
2016,New York Mets,NL East,162,87,75,0,.537,.538,2nd of 5,8.0,Lost NLWC (1-0),671,617,2789602,29.5,28.4,46,22,N.Syndergaard (5.7),T.Collins (87-75)
2015,New York Mets,NL East,162,90,72,0,.556,.549,1st of 5,--,Lost WS (4-1),683,613,2569753,28.6,28.2,49,26,J.deGrom (5.5),T.Collins (90-72)
2014,New York Mets,NL East,162,79,83,0,.488,.508,2nd of 5,17.0,,629,618,2148808,28.4,28.9,45,22,J.Lagares (5.2),T.Collins (79-83)
2013,New York Mets,NL East,162,74,88,0,.457,.454,3rd of 5,22.0,,619,684,2135657,28.3,29.1,53,29,D.Wright (5.2),T.Collins (74-88)
2012,New York Mets,NL East,162,74,88,0,.457,.460,4th of 5,24.0,,650,709,2242803,27.9,30.3,49,28,D.Wright (7.1),T.Collins (74-88)
2011,New York Mets,NL East,162,77,85,0,.475,.485,4th of 5,25.0,,718,742,2352596,28.0,30.0,46,23,J.Reyes (4.6),T.Collins (77-85)
2010,New York Mets,NL East,162,79,83,0,.488,.503,4th of 5,18.0,,656,652,2559738,28.4,29.5,47,20,A.Pagan (5.3),J.Manuel (79-83)
2009,New York Mets,NL East,162,70,92,0,.432,.445,4th of 5,23.0,,671,757,3168571,29.5,29.2,53,24,A.Pagan (4.0),J.Manuel (70-92)
2008,New York Mets,NL East,162,89,73,0,.549,.551,2nd of 5,3.0,,799,715,4042045,30.1,29.0,50,24,J.Santana (7.2),W.Randolph (34-35) and J.Manuel (55-38)
2007,New York Mets,NL East,162,88,74,0,.543,.532,2nd of 5,1.0,,804,750,3853955,30.7,31.3,49,24,D.Wright (8.3),W.Randolph (88-74)
2006,New York Mets,NL East,162,97,65,0,.599,.560,1st of 5,--,Lost NLCS (4-3),834,731,3379535,30.2,32.2,49,27,C.Beltran (8.2),W.Randolph (97-65)
2005,New York Mets,NL East,162,83,79,0,.512,.549,3rd of 5,7.0,,722,648,2829929,28.8,31.9,42,22,P.Martinez (6.5),W.Randolph (83-79)
2004,New York Mets,NL East,162,71,91,0,.438,.470,4th of 5,25.0,,684,731,2318951,29.8,32.5,52,26,A.Leiter (4.7),A.Howe (71-91)
